,0
1250,teams
1251,needed
1252,meet
1253,strategic
1254,goals
1255,excellent
1256,english
1257,written
1258,verbal
1259,communication
1260,skills
1261,willing
1262,travel
1263,occasionally
1264,extra
1265,points
1266,bsc
1267,computer
1268,science
1269,cyber/information
1270,security
1271,related
1272,field
1273,experience
1274,experience
1275,sailpoint
1276,identityiq
1277,identity
1278,governance
1279,solutions
1280,knowledge
1281,cloud
1282,computing
1283,architectures
1284,technical
1285,designs
1286,implementations
1287,including
1288,infrastructure
1289,service
1290,iaas
1291,platform
1292,service
1293,paas
1294,software
1295,service
1296,saas
1297,experience
1298,implementing
1299,administering
1300,privileged
1301,access
1302,management
1303,pam
1304,systems/solutions
1305,e.g
1306,cyberark
1307,love
1308,hearing
1309,anyone
1310,enthusiastic
1311,changing
1312,games
1313,industry
1314,sure
1315,meet
1316,qualifications
1317,let
1318,us
1319,decide
1320,research
1321,shows
1322,women
1323,members
1324,under-represented
1325,groups
1326,tend
1327,apply
1328,jobs
1329,think
1330,may
1331,meet
1332,every
1333,qualification
1334,fact
1335,often
1336,activision
1337,blizzard
1338,committed
1339,creating
1340,diverse
1341,inclusive
1342,environment
1343,strongly
1344,encourage
1345,apply
1346,world
1347,activision
1348,blizzard
1349,inc.
1350,nasdaq
1351,atvi
1352,one
1353,world
1354,'s
1355,largest
1356,successful
1357,interactive
1358,entertainment
1359,companies
1360,intersection
1361,media
1362,technology
1363,entertainment
1364,home
1365,beloved
1366,entertainment
1367,franchises
1368,including
1369,call
1370,duty¬æ
1371,world
1372,warcraft¬æ
1373,overwatch¬æ
1374,diablo¬æ
1375,candy
1376,crush‚ñ¢
1377,bubble
1378,witch‚ñ¢
1379,combined
1380,entertainment
1381,network
1382,delights
1383,hundreds
1384,millions
1385,monthly
1386,active
1387,users
1388,196
1389,countries
1390,making
1391,us
1392,largest
1393,gaming
1394,network
1395,planet
1396,ability
1397,build
1398,immersive
1399,innovate
1400,worlds
1401,enhanced
1402,diverse
1403,teams
1404,working
1405,inclusive
1406,environment
1407,aspire
1408,culture
1409,everyone
1410,thrive
1411,order
1412,connect
1413,engage
1414,world
1415,epic
1416,entertainment
1417,provide
1418,suite
1419,benefits
1420,promote
1421,physical
1422,emotional
1423,financial
1424,well-being
1425,‚äòevery
1426,world‚äô
1427,we‚äôve
1428,got
1429,employees
1430,covered
1431,videogame
1432,industry
1433,therefore
1434,business
1435,fast-paced
1436,continue
1437,evolve
1438,duties
1439,responsibilities
1440,role
1441,may
1442,changed
1443,directed
1444,company
1445,time
1446,promote
1447,support
1448,business
1449,relationships
1450,industry
1451,partners
1452,activision
1453,blizzard
1454,equal
1455,opportunity
1456,employer
1457,qualified
1458,applicants
1459,receive
1460,consideration
1461,employment
1462,without
1463,regard
1464,race
1465,color
1466,religion
1467,sex
1468,sexual
1469,orientation
1470,gender
1471,identity
1472,gender
1473,expression
1474,national
1475,origin
1476,protected
1477,veteran
1478,status
1479,basis
1480,protected
1481,applicable
1482,law
1483,discriminated
1484,basis
1485,disability
1486,apply
1487,click
1488,apply
1489,show
1490,less
1491,location
1492,loc_cira-cira
1493,centre
1494,req
1495,id
1496,209772
1497,shift
1498,days
1499,employment
1500,status
1501,regular
1502,full
1503,time
1504,us
1505,seeking
1506,breakthrough
1507,makers
1508,children
1509,hospital
1510,philadelphia
1511,built
1512,belief
1513,change
1514,lives
1515,today
1516,every
1517,role
1518,throughout
1519,hospital
1520,research
1521,institute
1522,care
1523,network
1524,"22,000"
1525,members
1526,workforce
1527,finding
1528,new
1529,ways
1530,–
1531,big
1532,small
1533,–
1534,make
1535,difference
1536,patients
1537,families
1538,serve
1539,ready
1540,challenge
1541,inspired
1542,grow
1543,–
1544,matter
1545,role
1546,–
1547,may
1548,kind
1549,breakthrough
1550,maker
1551,thrive
1552,chop
1553,chop
1554,proud
1555,share
1556,ranked
1557,1
1558,forbes
1559,2022
1560,list
1561,america
1562,'s
1563,best
1564,large
1565,employers
1566,job
1567,summary
1568,identity
1569,access
1570,management
1571,solutions
1572,architect
1573,responsible
1574,advancing
1575,children
1576,hospital
1577,philadelphia
1578,chop
1579,overall
1580,identity
1581,management
1582,strategy
1583,including
1584,implementing
1585,privileged
1586,account
1587,management
1588,solution
1589,cyberark
1590,enhancing
1591,identity
1592,claiming
1593,process
1594,solutions
1595,architect
1596,design
1597,enhance
1598,implement
1599,identity
1600,access
1601,management
1602,iam
1603,solutions
1604,enhance
1605,security
1606,support
1607,business
1608,processes
1609,prior
1610,experience
1611,identity
1612,management
1613,required
1614,including
1615,strong
1616,background
1617,access
1618,management
1619,federations
1620,sso
1621,two-factor
1622,self-service
1623,password
1624,reset
1625,identity
1626,governance
1627,account
1628,provisioning
1629,managing
1630,identities
1631,attestations
1632,connectors
1633,workflows
1634,privileged
1635,access
1636,management
1637,experience
1638,oracle
1639,identity
1640,manager
1641,microsoft
1642,azure
1643,sso
1644,active
1645,directory
1646,similar
1647,technologies
1648,required
1649,person
1650,position
1651,required
1652,work
1653,teams
1654,throughout
1655,organization
1656,capture
1657,requirements
1658,understand
1659,strategic
1660,business
1661,needs
1662,well
1663,working
1664,alongside
1665,iam
1666,team
1667,support
1668,advanced
1669,system
1670,configuration
1671,maintenance
1672,required
1673,throughout
1674,application
1675,lifecycle
1676,job
1677,responsibilities
1678,1
1679,analysis
1680,engage
1681,stakeholders
1682,understand
1683,requirements
1684,environment
1685,development
1686,occur
1687,system
1688,currently
1689,resides
1690,perform
1691,needs
1692,risk
1693,assessments
1694,help
1695,business
1696,understand
1697,technical
1698,staff
1699,needs
1700,interpret
1701,requirements
1702,properly
1703,identify
1704,high-value
1705,technologies
1706,meet
1707,broad
1708,range
1709,business
1710,needs
1711,analysis
1712,skills
1713,limited
1714,analyze
1715,technology
1716,environment
1717,analyze
1718,enterprise
1719,specifics
1720,review
1721,rfp
1722,responses
1723,3rd
1724,party
1725,vendors
1726,deliverables
1727,applicable
1728,definition
1729,business
1730,problems/objectives/opportunities
1731,current
1732,state
1733,future
1734,state
1735,mappings
1736,risk
1737,assessments
1738,written
1739,project
1740,scope
1741,high-level
1742,business
1743,requirements
1744,use
1745,cases/user
1746,stories
1747,cost/benefit
1748,analysis
1749,including
1750,cloud
1751,based
1752,run
1753,time
1754,costs
1755,analysis
1756,build
1757,buy
1758,recommendation
1759,business
1760,case
1761,rfi/rfp
1762,2
1763,design
1764,guide
1765,creation
1766,high-level
1767,design
1768,evaluate
1769,current
1770,state
1771,design
1772,based
1773,chop
1774,standards
1775,industry
1776,best
1777,practices
1778,gather
1779,abstract
1780,elements
1781,problem
1782,space
1783,communicate
1784,development
1785,team
1786,draft
1787,schematics
1788,system
1789,developed
1790,remediated
1791,lead
1792,careful
1793,mapping
1794,requirements
1795,select
1796,technologies
1797,provide
1798,features
1799,resulting
1800,solution
1801,detailed
1802,design
1803,vet
1804,elements
1805,particular
1806,modules
1807,imperatives
1808,system
1809,whole
1810,get
1811,team
1812,anticipate
1813,implications
1814,design
1815,decisions
1816,finished
1817,system
1818,communicate
1819,design
1820,technical
1821,nontechnical
1822,audiences
1823,deliverables
1824,applicable
1825,business/functional
1826,requirements
1827,solution
1828,architectural
1829,technical
1830,requirements
1831,architectural
1832,diagrams
1833,logical
1834,physical
1835,proof
1836,concept
1837,prototypes
1838,business
1839,cases
1840,assist
1841,development
1842,rfps
1843,vendor/product
1844,evaluations
1845,selections
1846,risk
1847,analysis
1848,designed
1849,solution
1850,setting
1851,collaboration
1852,framework
1853,3
1854,implementation
1855,communicate
1856,specifications
1857,requirements
1858,expected
1859,outcomes
1860,clear
1861,understandable
1862,form
1863,oral
1864,written
1865,stakeholders
1866,developers
1867,analysts
1868,implementation
1869,partners
1870,monitor
1871,implementation
1872,ensure
1873,well-integrated
1874,enterprise
1875,systems
1876,architecture
1877,assess
1878,technical
1879,change
1880,requests
1881,determine
1882,architecture
1883,best
1884,adapted
1885,accommodate
1886,requests
1887,monitor
1888,developers
1889,progress
1890,track
1891,status
1892,integration
1893,points
1894,modules
1895,system
1896,assist
1897,project
1898,manager
1899,assessing
1900,risks
1901,associated
1902,changes
1903,emerging
1904,issues
1905,act
1906,liaison
1907,developers
1908,project
1909,manager
1910,deliverables
1911,applicable
1912,creating
1913,solution
1914,prototype
1915,participating
1916,technology
1917,selection
1918,controlling
1919,solution
1920,development
1921,solution
1922,architectural
1923,diagrams
1924,proof
1925,concept
1926,prototypes
1927,job
1928,responsibilities
1929,continued
1930,4
1931,testing
1932,assist
1933,creating
1934,systems-integration
1935,load/performance
1936,user-acceptance
1937,testing
1938,develop
1939,failure
1940,modes
1941,analysis
1942,translate
1943,results
1944,test
1945,review
1946,action
1947,plans
1948,deliverables
1949,applicable
1950,failure
1951,modes
1952,analysis
1953,document
1954,acceptance
1955,test
1956,requirements
1957,5
1958,champion
1959,standards
1960,align
1961,infrastructure
1962,lead
1963,discussions
1964,sldc
1965,product
1966,development
1967,standards
1968,define
1969,standard
1970,solution
1971,design
1972,patterns
1973,solutions
1974,architect
1975,must
1976,understand
1977,enterprise
1978,architecture
1979,completely
1980,must
1981,quickly
1982,learn
1983,architecture
1984,variety
1985,applications
1986,must
1987,understand
1988,communicate
1989,integration
1990,points
1991,opportunities
1992,risks
1993,effectively
1994,application
1995,models
1996,use
1997,cases
1998,industry
1999,methods
2000,oral
2001,written
2002,job
2003,responsibilities
2004,continued
2005,department
2006,works
2007,80
2008,remotely
2009,20
2010,site
2011,philadelphia
2012,offices
2013,required
2014,education
2015,experience
2016,required
2017,education
2018,bachelor
2019,degree
2020,computer
2021,science
2022,software
2023,engineering
2024,related
2025,field
2026,required
2027,experience
2028,ten
2029,10
2030,years
2031,professional
2032,experience
2033,software
2034,development
2035,system
2036,integration
2037,and/or
2038,system
2039,design
2040,progression
2041,toward
2042,leadership
2043,ten
2044,10
2045,years
2046,professional
2047,experience
2048,researching
2049,initiating
2050,incorporating
2051,multiple
2052,complex
2053,enterprise-level
2054,projects
2055,business
2056,environment
2057,five
2058,5
2059,years
2060,professional
2061,experience
2062,cross-functional
2063,initiatives
2064,three
2065,3
2066,years
2067,cloud
2068,infrastructure
2069,implementation
2070,application
2071,development
2072,information
2073,security
2074,etc
2075,project
2076,management
2077,experience
2078,preferred
2079,education
2080,experience
2081,cert/lic
2082,preferred
2083,education
2084,master
2085,degree
2086,preferred
2087,experience
2088,five
2089,5
2090,years
2091,professional
2092,experience
2093,healthcare
2094,information
2095,technology
2096,healthcare-related
2097,environment
2098,designing
2099,software
2100,healthcare
2101,providers
2102,additional
2103,technical
2104,requirements
2105,working
2106,knowledge
2107,multiple
2108,healthcare
2109,business
2110,processes
2111,and/or
2112,demonstrated
2113,business
2114,knowledge
2115,one
2116,departmental
2117,operation
2118,chop
2119,ability
2120,collaborate
2121,teams
2122,interact
2123,levels
